Scene,Camera X,Camera Y,Camera Z
hammer_z+,0.8929246,1.228874,-1.044149
hammer_z+,0.8943642,1.229087,-1.043665
hammer_z+,0.8958628,1.229279,-1.043116
hammer_z+,0.8966641,1.22916,-1.043056
hammer_z+,0.8986641,1.229066,-1.042702
hammer_z+,0.9010561,1.22892,-1.041895
hammer_z+,0.9022281,1.228847,-1.041056
hammer_z+,0.9046108,1.228829,-1.040045
hammer_z+,0.9069769,1.229002,-1.039536
hammer_z+,0.9093843,1.229007,-1.039009
hammer_z+,0.9125004,1.229184,-1.038616
hammer_z+,0.9152521,1.229186,-1.038016
hammer_z+,0.9187106,1.229098,-1.037395
hammer_z+,0.9210937,1.22929,-1.036262
hammer_z+,0.922035,1.229039,-1.035576
hammer_z+,0.9225624,1.22887,-1.034981
hammer_z+,0.923924,1.228666,-1.033958
hammer_z+,0.9241566,1.228841,-1.032927
hammer_z+,0.9253557,1.228913,-1.031535
hammer_z+,0.9263832,1.229095,-1.030465
hammer_z+,0.9265608,1.229146,-1.029569
hammer_z+,0.9274681,1.229149,-1.028696
hammer_z+,0.9287028,1.22924,-1.02821
hammer_z+,0.9292481,1.229917,-1.027559
hammer_z+,0.9299813,1.23031,-1.02677
hammer_z+,0.9303066,1.230569,-1.0256
hammer_z+,0.9307023,1.230154,-1.025367
hammer_z+,0.9306949,1.230926,-1.025601
hammer_z+,0.9313872,1.229256,-1.024935
hammer_z+,0.9308813,1.229249,-1.024284
hammer_z+,0.93076,1.229563,-1.023903
hammer_z+,0.9307694,1.229268,-1.024119
hammer_z+,0.9305428,1.229157,-1.024544
hammer_z+,0.9309307,1.229549,-1.023798
hammer_z+,0.9309117,1.230564,-1.022858
hammer_z+,0.9309558,1.231422,-1.022162
hammer_z+,0.9310331,1.231842,-1.021155
hammer_z+,0.9308757,1.232433,-1.020503
hammer_z+,0.9315026,1.232642,-1.021227
hammer_z+,0.9317307,1.232798,-1.02198
hammer_z+,0.9320489,1.233173,-1.023645
hammer_z+,0.9322528,1.23312,-1.024657
hammer_z+,0.9322353,1.233003,-1.025219
hammer_z+,0.9316167,1.232604,-1.026081
hammer_z+,0.9307339,1.23215,-1.027396
hammer_z+,0.9307629,1.232236,-1.027968
hammer_z+,0.9294968,1.231909,-1.02875
hammer_z+,0.9276231,1.231315,-1.029754
hammer_z+,0.9259147,1.231697,-1.02958
hammer_z+,0.9241197,1.231485,-1.029302
hammer_z+,0.9215522,1.230506,-1.029708
hammer_z+,0.9205262,1.231184,-1.029497
hammer_z+,0.9191464,1.230994,-1.030257
hammer_z+,0.9168713,1.230996,-1.031477
hammer_z+,0.915052,1.230624,-1.031901
hammer_z+,0.9138012,1.229942,-1.033127
hammer_z+,0.9112068,1.229428,-1.034429
hammer_z+,0.9108277,1.228851,-1.035247
hammer_z+,0.9084634,1.227943,-1.035826
hammer_z+,0.9067857,1.227444,-1.036633
hammer_z+,0.9059256,1.226845,-1.036627
hammer_z+,0.9038917,1.226532,-1.036392
hammer_z+,0.9033366,1.225807,-1.03711
hammer_z+,0.902193,1.22539,-1.037409
hammer_z+,0.9015221,1.224883,-1.038058
hammer_z+,0.8998464,1.224275,-1.037999
hammer_z+,0.901341,1.223629,-1.032797
hammer_z+,0.9019858,1.223725,-1.031269
